year NF1 NF2 NF3 NF4 NF5 NF6 NF7 NF8 NF9 NF10 NF11 NF12 NF13 NF14 NF15 NF16 NF17 NF18 NF19 NF20 NF21 NF22 NF23 NF24 NF25 NF26 NF27 NF28 NF29 NF30 NF31 NF32 NF33 NF34 NF35 NF36 NF37 NF38 NF39 NF40 NF41 NF42 NF43 NF44 NF45 NF46 NF47 NF48 NF49 NF50 NF51 NF52 NF53 NF54 NF55 NF56 NF57 NF58 NF59 NF60 NF61 NF62 NF63 NF64 NF65 NF66 NF67 NF68 NF69 NF70 NF71 NF72 NF73 NF74 NF75 NF76 NF77 NF78 NF79 NF80 NF81 NF82 NF83 NF84 NF85 NF86 NF87 NF88 NF89 NF90 NF91 NF92 NF93 NF94 NF95 NF96 NF97 NF98 NF99 NF100
2030 n08c n04e n084 n00x n09b n08k n00o n00e n042 n04q n05a n045 n02g n03a n06o n08s n057 n08z n08i n07l n06y n010 n08y n04h n0at n02h n066 n03f n039 n032 n05q n024 n05e n082 n03y n04d n030 n08n n091 n0a1 n07g n01x n0ar n0ah n080 n04v n061 n025 n0b1 n03z n09w n055 n08j n0ai n03d n033 n05d n04u n034 n05n n00v n08t n051 n02t n06t n01u n085 n09o n068 n08q n063 n056 n01w n06l n06v n0am n01b n08d n00s n035 n012 n0aj n078 n06s n050 n07b n09p n00u n01e n05t n05o n0aw n07n n02c n07x n06r n03x n09e n087 n09u
2031 n16i n11p n12o n19r n12n n157 n163 n106 n1b2 n15b n18s n15q n17b n10d n182 n19g n15d n178 n11k n114 n100 n14n n11e n18x n15z n10l n1az n1ac n116 n11z n11d n152 n191 n14m n14x n11g n14s n134 n19p n117 n149 n197 n132 n1ai n19w n12f n166 n14i n16w n16h n11u n17c n17j n1b3 n18g n18m n12v n13y n10i n13k n15s n16o n19b n19d n18z n14z n109 n184 n1ax n1aj n11m n15x n16t n14v n17l n16d n168 n16y n108 n141 n153 n11o n17e n127 n140 n13w n18d n169 n11h n15l n13s n102 n15o n1a7 n125 n1a3 n155 n1ag n101 n19h
2032 n294 n24r n20f n263 n25n n21u n28v n2at n2a1 n25a n23t n298 n25c n29h n25y n2a5 n26z n238 n208 n24i n267 n27m n255 n24u n2a7 n28h n21h n22p n24z n23f n200 n2ax n23s n25v n21b n27f n25f n2aa n2ao n29k n296 n240 n21y n22q n280 n233 n29w n250 n21d n27o n24s n262 n22b n28o n225 n20z n25t n29x n21o n20t n27r n213 n277 n28f n20j n212 n22j n20s n26q n228 n29g n26d n26v n299 n2a3 n264 n24y n2ay n24d n219 n226 n20d n26r n23u n28j n21p n26a n28k n27t n23b n29u n23d n22w n22e n217 n207 n206 n25k n26x n23k
2033 n354 n384 n32q n397 n31n n30v n37p n36p n350 n353 n367 n3aj n30d n30f n33j n30a n3a5 n342 n36f n311 n30n n34e n34p n36x n32f n334 n36c n339 n352 n34m n34r n36u n31a n3ag n320 n37n n31k n35a n36k n355 n336 n3ak n3as n30h n34q n35m n365 n38o n34v n33p n37g n39t n37l n333 n366 n38a n30y n308 n31z n30o n34f n382 n31c n36o n306 n3ae n30e n319 n30s n37j n39p n35r n39k n34y n32y n372 n30u n3a6 n36s n35v n3af n31e n35t n30b n3b1 n328 n38s n32b n335 n38l n37t n35n n31s n310 n33z n37q n38r n35c n396 n30i
2034 n451 n4ap n481 n44n n48g n41t n4ay n40m n469 n435 n45d n47g n45f n44w n42a n494 n4af n49h n4a6 n493 n47z n4at n45t n460 n47f n40h n46q n41y n4aj n40y n448 n46u n42o n432 n41e n477 n40j n430 n49v n486 n40d n49g n41h n40b n48l n40u n47t n43v n40o n48d n441 n45x n48k n42t n4a0 n43i n49b n40x n44u n40a n45k n43m n45a n46b n405 n47q n404 n46m n45o n48c n43y n40c n426 n44o n42v n44k n45s n47d n48x n45w n46g n429 n40s n48b n42s n49s n406 n42y n442 n42e n45z n47s n424 n4al n4aw n48u n41j n490 n4a3 n47r
2035 n56z n51u n59f n59d n50h n522 n53k n545 n53y n5ax n514 n5a3 n51t n5af n572 n583 n595 n51a n50t n50d n51d n50k n54h n5a5 n581 n52l n58l n527 n5a6 n585 n503 n57i n546 n53o n50f n59a n56n n55d n579 n56x n513 n50p n525 n59j n53i n5ad n5b3 n57f n55z n5b2 n53t n55o n56d n548 n540 n50x n54j n55v n553 n53l n51s n539 n5a7 n52i n57a n56i n59x n575 n54r n58m n51m n547 n50e n55w n59w n551 n53v n58h n582 n52q n58i n5ah n54t n504 n56t n5a1 n550 n59b n58a n593 n52c n576 n50r n54k n54z n53w n531 n52r n566 n57r
2036 n63b n68y n6av n65t n622 n625 n618 n68a n62f n61x n6ab n63n n690 n665 n60e n650 n65v n680 n60n n623 n61v n60i n610 n615 n64r n65a n60a n62g n626 n68s n63r n6a5 n654 n68m n64v n633 n61c n614 n687 n65d n6a7 n63v n69f n64q n69d n66l n668 n66j n65y n60w n61s n6ap n61e n67l n692 n64t n65g n6ag n6at n66h n6ak n6ar n68l n62u n63c n697 n69h n61l n6a1 n61f n66b n66m n60d n6b0 n662 n63a n68e n61i n66u n653 n666 n67c n678 n62s n620 n69a n69i n65m n64u n69u n651 n624 n61p n643 n669 n67m n64g n638 n60u n63j
2037 n71j n78v n75e n78h n77a n77l n74h n7ar n77t n71p n71h n71k n78y n719 n79c n736 n786 n74g n75l n73o n748 n71s n75q n77g n7a4 n73r n70y n730 n71e n757 n71t n799 n76a n78b n729 n768 n74l n74w n77d n79g n71a n723 n75t n709 n75m n795 n79s n72v n737 n714 n76e n77u n797 n75s n747 n70k n789 n7ae n765 n74c n764 n758 n710 n740 n70e n779 n76y n77k n79r n71g n72w n7ax n76x n72r n70z n76w n7as n70o n77b n73n n7aj n755 n7aa n72t n72a n78t n72m n71m n79q n7ao n75x n75h n74k n77s n77z n76p n74u n73b n74o n713
2038 n840 n81y n88y n829 n88v n85n n81a n82p n86z n881 n808 n83s n8af n86c n858 n84y n843 n89t n89q n81l n81j n85r n88z n883 n85w n871 n80k n81c n87i n84l n805 n876 n89u n80f n8aw n87l n88c n82w n875 n851 n88d n827 n85o n83p n83n n87z n86m n82n n83q n85j n8ay n88r n886 n84s n86w n82x n839 n87p n816 n8am n825 n8a3 n80x n84z n81d n85e n86a n83f n84p n80z n854 n84e n8ai n8an n82z n82b n86b n84r n82q n88g n80b n898 n8aq n8ad n88k n82i n802 n80m n80n n847 n8a9 n8av n894 n82d n81g n831 n89y n86r n861 n8ak
2039 n91d n92u n99r n90e n92o n970 n98w n97r n93o n90b n969 n902 n91o n92e n993 n96i n97x n997 n94m n91c n99u n93w n98y n92k n90h n98z n928 n982 n90p n944 n91u n9al n943 n905 n996 n92r n98h n96d n92a n98u n97s n92f n98i n98l n9ae n96z n96e n96n n9b2 n908 n94t n95g n99k n92y n93i n964 n95d n99t n9a2 n98q n96u n991 n95h n90m n981 n98j n94f n923 n95m n95z n96w n934 n9at n94j n96c n911 n940 n900 n955 n9ac n91e n96x n9af n9ai n9a6 n9as n95e n98o n956 n9a0 n92j n93k n936 n92g n91f n96j n92n n97f n98v n96y
2040 o0a0 o059 o0aq o02f o05q o043 o05a o02t o0aw o06k o099 o00a o08c o024 o09u o0aj o05z o07y o08u o02j o08k o01n o07p o04i o01p o05p o09e o09c o03d o0a2 o07f o016 o00q o064 o0ap o06w o09j o04l o05j o0ae o09a o04q o07c o09x o07s o00y o07j o060 o01q o07k o051 o01a o06d o000 o08g o00o o018 o009 o08v o0a4 o00c o02g o01h o06s o08e o001 o05s o019 o096 o08b o092 o058 o0at o01w o01i o04v o011 o05k o05l o057 o093 o02q o030 o04j o003 o04o o007 o034 o02r o07d o069 o09q o039 o0ag o06t o01m o00v o03c o02s o05y
2041 o122 o151 o14n o15z o131 o14h o16h o1b3 o1ac o173 o16r o1a8 o10l o17q o154 o13i o1at o16y o15r o14z o11e o12k o11x o119 o12a o188 o17a o101 o18o o10i o13b o1b0 o140 o19p o10c o17e o137 o15q o176 o18v o11o o12b o19v o162 o17u o179 o18f o14r o191 o104 o1am o14w o115 o1a5 o1aj o19l o180 o105 o11u o1ar o15e o1ag o15p o124 o11z o129 o13v o14c o1ad o14e o1a3 o170 o1aw o1ao o181 o12i o143 o10e o19t o19i o11i o103 o11b o148 o19h o12z o16m o1ay o10b o1aq o13c o19k o1au o160 o14m o15y o107 o11s o10v o10g
2042 o25n o25m o29w o233 o24q o26n o24r o26e o25f o28f o28j o27t o288 o20h o22n o23p o290 o2au o278 o28d o275 o24a o2b1 o274 o263 o22c o26r o24g o2af o21p o282 o23l o270 o29t o26k o2a2 o21n o254 o2b0 o20a o26w o21d o27s o2a6 o21z o27g o21r o20u o251 o2al o20w o266 o20y o29a o215 o2av o24z o28r o2at o29c o2b2 o29j o247 o21s o287 o21e o21u o236 o2ag o24s o24e o23m o20g o2aa o22m o26f o28x o27q o26b o27k o20r o29u o204 o20c o218 o2a8 o20i o20p o23o o24m o24u o24b o26i o24k o27a o201 o27z o29f o24w o25c
2043 o31p o34j o38a o366 o37g o3ab o367 o33g o381 o35a o35o o34g o33k o305 o39c o37l o3ai o30k o38g o39n o35u o33j o36z o372 o358 o3b0 o3au o34x o37p o37y o35h o38p o362 o30o o33b o32u o33m o363 o369 o32w o31q o303 o32d o30j o36d o38n o37f o39v o355 o35j o30p o34p o34b o36g o39z o32g o30d o39i o32o o33x o36i o32s o32e o32j o329 o31s o39l o3ac o34d o3av o39r o33a o37e o343 o336 o311 o38q o33v o326 o35z o349 o37h o392 o309 o35q o348 o323 o37i o37s o37a o32f o3a1 o34n o359 o3a6 o34k o387 o31f o350 o32q
2044 o4b0 o4av o4ab o4b2 o436 o400 o48c o409 o41x o497 o49c o46g o42a o46d o449 o48j o48s o45j o46p o44y o468 o434 o45t o49v o41t o44e o47r o40j o40i o46l o4ay o45a o40b o44d o40m o46i o46v o47t o45q o4a9 o41j o41e o487 o498 o48i o42n o4ae o40h o40o o49o o415 o46h o41n o44f o46b o48m o42s o499 o43j o47q o475 o4ak o480 o49p o45v o43f o47c o405 o420 o42d o435 o41z o48y o42u o49w o429 o40r o43p o407 o474 o45n o42c o453 o40a o48q o4al o47n o40f o437 o47v o42q o43q o42r o42j o48d o47o o48l o42g o485 o47u
2045 o537 o584 o527 o58s o554 o59f o52n o56q o511 o51w o54j o5ap o57a o56j o52o o50z o52k o50d o5a9 o51x o53r o59u o5at o54g o5as o517 o56x o56h o51j o57l o53g o54r o53y o59j o50e o50s o52t o53n o57r o59l o50a o55u o55g o50n o53u o58v o569 o58b o52m o56n o5ar o508 o5b3 o545 o515 o57m o55o o50t o51e o54i o54q o501 o536 o5ao o59r o525 o510 o5aw o51z o556 o5aj o56f o54y o58c o535 o598 o52d o51q o50l o52r o502 o56g o50o o54n o528 o587 o57y o58d o54b o5ae o576 o55r o52s o51g o586 o526 o55l o563 o51h o5af
2046 o603 o604 o605 o607 o60g o60i o60o o60r o60s o60t o60u o60y o611 o61c o61e o61f o61n o61p o61y o62b o62f o62k o62l o62p o62q o62w o62x o632 o633 o634 o63d o63n o63o o63r o63u o63w o63x o63z o644 o64g o64i o64w o64x o64z o654 o65c o65d o65f o65k o65l o65p o65v o666 o66b o66c o66e o66g o66j o66z o670 o679 o67c o67e o67f o67l o67m o67z o682 o686 o688 o68g o68h o68o o68q o68x o68y o691 o693 o696 o69c o69e o69f o69i o69l o69w o69x o6a1 o6a5 o6a6 o6a9 o6ad o6ae o6af o6ai o6ao o6au o6ax o6b2 o60d o610
2047 o73f o73s o7a5 o709 o71d o78f o7a1 o7a7 o71h o74r o75r o71u o75y o70y o762 o71i o71v o700 o78o o750 o77q o77h o782 o7al o78b o799 o75c o70i o79k o70k o72y o741 o792 o705 o72d o77a o79z o73e o72e o78e o79o o73g o790 o77j o78t o796 o77k o74v o71c o76a o73d o75l o761 o76o o75h o743 o79l o703 o73r o73y o77e o70e o75q o71o o71e o722 o7a3 o71w o747 o723 o74f o78z o77t o73h o736 o70d o737 o76l o721 o72f o791 o72m o707 o74t o76u o75z o7ar o7af o75d o770 o74u o738 o70n o73x o79c o797 o74z o728 o79w o71g
2048 o81z o83q o83x o870 o802 o8a5 o846 o85d o8a8 o87v o82f o862 o837 o8aq o80b o880 o88c o85o o83l o89q o83d o88a o84v o81v o883 o87b o87u o881 o828 o86e o87r o84z o84f o873 o82v o81o o84a o87a o86h o8ad o85h o8as o80h o84y o80p o80j o86f o848 o87h o89r o83m o813 o89p o8a2 o81n o88o o87e o89m o899 o81f o8az o85b o82u o80g o89u o88b o85x o85g o85i o87c o81g o81s o86y o82d o80m o89s o823 o8am o81a o8a4 o834 o86i o82c o88x o82o o89j o80k o8ao o85s o8b0 o87g o820 o87d o89v o8ap o87w o851 o89e o80a o84b
2049 o96v o9ar o99r o90x o97h o94n o9ai o976 o99j o9ag o9a9 o94j o923 o96b o9az o9am o97y o9ab o909 o97z o96u o959 o91t o91c o9ap o987 o98d o9a6 o94c o96g o98b o94m o900 o92y o9au o9b0 o90h o979 o95o o94e o97a o92q o90i o981 o92s o913 o918 o93y o93p o929 o91s o938 o911 o93h o96t o97l o95n o95v o9a0 o91j o969 o95i o97p o99b o9a5 o97u o917 o907 o92r o91q o97i o93d o9av o98j o93j o94q o98c o99h o94a o96q o96s o9a4 o937 o97r o92v o99k o95u o952 o9ac o93g o92w o97m o92e o906 o91a o92i o9af o97e o91u o96m
