year BS1 BS2 BS3 BS4 BS5 BS6 BS7 BS8 BS9 BS10 BS11 BS12 BS13 BS14 BS15 BS16 BS17 BS18 BS19 BS20 BS21 BS22 BS23 BS24 BS25 BS26 BS27 BS28 BS29 BS30 BS31 BS32 BS33 BS34 BS35 BS36 BS37 BS38 BS39 BS40 BS41 BS42 BS43 BS44 BS45 BS46 BS47 BS48 BS49 BS50 BS51 BS52 BS53 BS54 BS55 BS56 BS57 BS58 BS59 BS60 BS61 BS62 BS63 BS64 BS65 BS66 BS67 BS68 BS69 BS70 BS71 BS72 BS73 BS74 BS75 BS76 BS77 BS78 BS79 BS80 BS81 BS82 BS83 BS84 BS85 BS86 BS87 BS88 BS89 BS90 BS91 BS92 BS93 BS94 BS95 BS96 BS97 BS98 BS99 BS100
1911 b118 b14n b1at b12k b16v b15p b15j b18d b18w b13e b15k b18a b101 b11v b13w b190 b12q b19l b14r b144 b1a3 b11e b19a b12f b19y b1ad b10i b12m b16o b10z b17l b110 b11k b147 b158 b16k b164 b17q b13d b121 b12z b17r b197 b124 b179 b19d b1af b180 b1am b14s b1ar b15l b10u b119 b175 b1a5 b172 b1ah b145 b18p b19i b17y b15i b173 b100 b13v b16g b19m b165 b17b b17f b11w b174 b143 b168 b11t b14u b188 b11z b15m b16l b15e b17d b183 b15h b1b3 b136 b17n b16r b14q b113 b16m b16x b12w b14x b160 b11g b18b b19n b18x
1912 b24a b29n b2b2 b29k b29j b224 b20k b218 b24n b290 b26g b22k b28s b25r b24s b251 b28h b20h b227 b21n b24w b26f b248 b22y b2am b217 b22j b2aq b2b3 b262 b23u b200 b207 b23b b25p b28u b21f b269 b29h b2al b26v b220 b265 b20x b223 b24g b22q b21q b21y b2ar b21v b20u b29q b22c b26h b21j b28r b237 b24y b28k b29z b25x b211 b28o b20d b26z b25w b23w b22e b25m b24c b273 b241 b27j b21i b21o b22o b23c b27a b275 b27y b296 b22f b22m b28n b20q b28g b2a3 b23h b20j b25n b21u b24i b247 b29g b279 b29m b27b b25i b21c
1913 b31t b33f b3an b310 b30d b394 b3al b387 b365 b37a b32q b33k b31p b39z b34j b30h b31g b33s b39m b358 b30k b3ad b30u b30c b35l b35n b30x b31o b30p b32h b36e b397 b3ao b335 b32g b37k b3b2 b3aq b305 b350 b3ar b36q b38l b385 b315 b3a4 b38x b34r b33p b308 b38k b37b b344 b3ax b318 b35z b326 b34p b36v b36h b33n b35f b35p b36m b391 b33z b3a3 b36x b35o b36w b36l b33y b31u b30f b3b3 b36y b38v b368 b31x b303 b342 b317 b34b b377 b36f b383 b361 b35e b32a b31e b336 b39n b38g b357 b3ab b343 b36o b324 b34x b390
1914 b429 b424 b430 b49q b418 b470 b45a b44k b47w b49e b45l b4af b47h b42h b47g b40e b45f b49l b479 b45x b42p b45m b484 b442 b410 b46r b42i b45u b44z b49v b43e b47y b48t b441 b43t b43m b45c b44d b49n b426 b48i b4am b43c b495 b41w b42r b40u b447 b46n b4a8 b43b b49p b40n b49c b42y b48g b42g b47o b46y b40b b48z b492 b4ay b4a3 b41z b474 b43o b458 b46e b46x b48j b44n b48h b44y b49o b43g b456 b428 b43s b41k b460 b48u b45j b49j b48n b45h b49s b47p b461 b44o b45t b44h b43a b467 b4at b4av b44e b42a b48r b41a
1915 b553 b517 b54x b58a b50d b5ap b51l b53k b54f b54j b515 b50p b585 b507 b527 b526 b57b b56d b59h b58g b540 b514 b52y b50w b5af b55n b52m b570 b54h b59f b50l b56c b5av b548 b591 b525 b5an b59y b56n b531 b568 b5ae b52g b50k b57s b57p b56u b54k b51g b508 b55f b576 b59z b5a5 b554 b5al b50n b5ak b59v b575 b56i b57z b52s b52a b58r b557 b53v b556 b579 b50i b501 b53w b59q b598 b54a b54c b519 b55i b50j b55c b56b b50x b5aj b51z b51q b565 b580 b571 b59t b5ad b59s b5aa b51w b56p b5a2 b54y b549 b5ar b595 b53q
1916 b68m b6as b6b1 b632 b62t b69h b66c b69i b620 b6aj b64v b619 b65b b615 b65p b671 b62r b65d b67u b63q b60p b65f b665 b63n b68y b628 b66e b6ak b63s b69o b68h b68l b61c b61u b66b b68z b62s b67c b68s b66y b67t b62d b67p b626 b6ag b67m b61v b697 b69a b6an b68c b69y b68x b613 b69f b69j b60u b605 b61l b66o b6a0 b61s b69e b650 b65j b64g b651 b62n b61n b67d b62p b67g b63k b60x b625 b60l b643 b62f b6a1 b61y b68w b6az b67j b681 b60a b67r b61q b672 b67w b66d b66a b690 b66u b69c b66m b69v b694 b62l b63u b66q
1917 b700 b79o b710 b76y b787 b713 b79p b72f b72z b76u b79g b744 b75v b7as b703 b777 b75o b79j b798 b7ak b74c b71i b73d b72r b73g b726 b78d b72t b76r b786 b723 b75h b73q b72w b75n b783 b79a b71r b70i b71f b74o b76i b74r b78k b71n b79x b70j b75c b74a b764 b76o b76m b75m b769 b70w b70n b750 b74w b78h b789 b72a b722 b77k b70f b73f b70k b776 b758 b71g b74v b766 b711 b77u b7b1 b736 b718 b73y b7al b72j b76e b78c b79w b77z b709 b749 b77w b706 b76v b707 b73e b74h b753 b71v b729 b76h b72u b79d b73w b7b2 b76z
1918 b8ax b89d b871 b83o b81y b85w b8a1 b802 b8a4 b88s b857 b80i b84e b8b3 b85l b83a b83d b887 b88z b84l b8ao b8aq b851 b831 b87l b89j b87f b87y b8ak b80h b83v b89f b84c b86m b83y b80j b85h b84v b848 b8al b88f b84u b88a b81m b83b b8ap b87n b818 b801 b84g b8ab b80w b81d b89l b86n b836 b823 b88i b86h b85p b89g b82u b81c b84p b858 b86v b88c b811 b8ah b82k b81f b80k b839 b8a7 b80q b895 b850 b88n b80p b86f b86o b87c b86r b85m b86z b85x b81s b877 b81p b80v b893 b825 b8ar b829 b80o b82m b82s b837 b86w b830
1919 b98w b97e b9b3 b95c b90e b963 b97x b94f b91z b99u b98m b93u b94n b941 b99m b969 b9b0 b99x b961 b991 b94d b9ap b918 b97d b93q b96f b90o b93l b94x b92e b98b b924 b90k b98s b915 b933 b944 b908 b94g b94l b939 b901 b98j b98o b972 b99o b99b b97k b96i b96w b946 b9av b95t b90m b9ad b92g b95r b935 b949 b959 b90x b99w b96j b93a b99e b934 b99y b91i b94h b91v b97t b94e b90f b90g b96y b98l b910 b9a7 b93n b967 b983 b90r b99i b93e b970 b92w b93d b98t b91b b96u b97v b95o b973 b927 b960 b920 b9ay b91x b99p b92c
1920 c02z c05k c09p c058 c06z c02l c09y c042 c04c c03q c090 c020 c0at c05t c025 c05y c00m c02n c009 c018 c08n c09r c06x c08w c01f c01r c03i c03t c01k c064 c071 c094 c070 c07v c03h c016 c095 c09z c024 c08f c05n c029 c02e c045 c08h c091 c04o c084 c06l c07r c00y c0aa c07c c0ab c07z c03d c08o c06d c02f c08k c096 c0aw c09c c09q c023 c09w c06w c082 c07e c0ax c089 c055 c06s c08v c07s c08l c073 c049 c01s c0az c09o c03a c02q c01v c04g c02v c04t c06t c02a c08s c06b c043 c06f c05l c051 c012 c01o c079 c02d c05e
1921 c14u c19a c10e c15q c17e c13v c16s c111 c19m c112 c19k c19w c11y c18x c16w c11r c162 c178 c1a0 c191 c152 c19i c123 c12b c19u c1ad c14d c1a3 c179 c13h c144 c1as c171 c17n c125 c16b c19f c1ax c11g c157 c14v c16n c13o c16g c10l c16u c14q c10c c11c c14l c13c c15n c15m c13w c10n c14g c12y c1ao c16z c12c c15c c15g c186 c170 c19h c13e c160 c13y c10h c14p c17i c13m c17j c10o c180 c17w c14a c15s c10z c12f c12e c1az c11f c18c c161 c107 c15a c12w c176 c14r c130 c14z c10u c11x c113 c13n c167 c19x c18y c16x
1922 c27g c29z c25x c26g c20f c26j c22j c22y c27l c25d c28k c29i c20u c279 c26f c2a2 c246 c2al c221 c23w c28n c27c c21u c29m c20x c23z c26p c22q c23e c25n c281 c24d c21n c29v c28v c21k c27q c217 c2ar c227 c2a1 c22b c213 c25b c2at c21x c24x c22n c24q c29d c29y c28g c25s c24k c267 c27y c20s c25y c26y c27m c26c c26w c26l c27p c25z c26i c27n c26o c28d c24n c20w c20l c2ag c29a c206 c240 c2aj c23q c250 c299 c2a8 c205 c258 c24p c25a c22s c24c c27b c27f c22v c24y c21b c2ao c28q c21d c24i c23p c24h c243 c28f
1923 c36s c36a c381 c346 c32n c37r c32o c35o c39n c304 c32v c3a5 c352 c36k c340 c32p c31t c39z c36t c319 c356 c37w c34f c33u c327 c313 c36x c338 c38v c322 c30w c330 c38y c39f c34h c39c c38u c38q c3b1 c39v c331 c3ah c32b c32w c31x c39x c375 c32x c38m c33q c30a c32t c317 c3al c393 c362 c38r c34y c35e c32j c38f c365 c39t c30j c39g c31p c39i c3af c379 c33l c32y c30p c30d c3at c30q c361 c36v c33s c38i c324 c31n c30s c39q c38s c34e c34g c31c c33z c37s c386 c335 c30i c38j c30o c3az c31r c39w c342 c316 c33r
1924 c48b c45j c41b c47p c4ao c43h c44r c46e c45h c41o c40t c436 c40f c40b c4as c408 c47z c48v c46m c46q c496 c432 c435 c40p c45a c49d c48o c46c c4ay c48x c41x c49k c47l c44g c428 c445 c45n c40c c48u c40r c42e c43w c4b2 c4b0 c4b1 c46b c47t c402 c476 c43e c44n c49n c42r c42l c40a c42a c421 c44f c451 c42h c4ad c49a c41c c43p c42o c418 c40g c46k c47o c426 c47a c44e c41f c433 c41w c49h c444 c4aa c43d c4a2 c47w c410 c442 c44t c41q c48s c49u c465 c4au c42n c4ak c41t c41l c40h c42t c49x c40x c498 c43n c46v
1925 c59u c56w c54y c590 c5a2 c53z c555 c520 c565 c536 c5ab c56j c541 c56p c55k c506 c58f c57k c53d c57a c58h c50d c56l c59z c517 c51f c503 c55d c5at c505 c59x c58w c598 c58i c59g c55o c587 c514 c56a c55f c59i c50e c52j c53m c5aj c52z c51g c50b c55t c524 c53n c52u c52m c59m c53f c52d c5az c53y c55h c51m c5aq c55c c56i c53h c5ag c516 c504 c57p c545 c526 c5ah c53r c5a4 c50i c53w c57j c586 c51q c55s c5ak c53g c57u c52t c5ax c5a5 c52c c50g c580 c53q c59v c51s c502 c56o c5a0 c52v c58v c553 c50a c535 c56y
1926 c62q c635 c65s c614 c6ax c60e c68d c61f c664 c6ak c602 c654 c688 c63c c60v c60i c61v c64t c621 c61t c67o c60a c66a c61x c650 c685 c6a5 c65q c60j c61g c66g c67d c69q c67b c669 c64e c61z c63n c64s c67y c66b c69p c68k c66p c60c c60p c65x c693 c66z c607 c673 c66h c68i c61e c61b c68x c64i c65f c6ae c67z c62e c67c c66c c60r c69l c652 c60k c62v c66v c680 c66i c6a3 c60g c60y c68t c69h c68b c62g c6a6 c68y c61o c611 c65m c658 c63g c64u c64b c63s c6ai c60u c62y c6a0 c691 c68c c67l c605 c612 c651 c69a c61w
1927 c70b c71v c739 c761 c778 c78i c72y c72c c782 c7ax c79k c78g c779 c708 c7ay c70p c78b c70l c72l c77l c71y c74y c7an c70c c711 c70d c71a c70y c713 c736 c77j c79d c77y c72o c70k c78k c74r c73l c76x c79m c7a8 c74f c75n c77o c7a3 c73g c75h c78p c7b3 c734 c76h c73c c7ae c71x c740 c738 c70u c7ap c74e c722 c709 c784 c750 c78x c72v c78j c71t c7as c75w c7b1 c76a c7at c777 c73h c70n c76e c72n c7aq c74i c700 c71m c721 c72j c76f c7au c70e c73a c743 c773 c76n c70j c73z c74u c72z c79b c71j c781 c74s c723 c79z
1928 c86x c81t c842 c80y c87k c8ak c88s c88n c8b3 c85a c860 c8af c847 c80o c804 c865 c8b2 c82h c85l c89q c809 c83l c815 c82c c81n c84c c87t c87r c87n c883 c81l c84f c82e c83z c863 c8a5 c89c c89g c8a6 c846 c861 c85u c823 c844 c830 c870 c882 c87w c86c c86h c82n c84m c88b c84j c8b0 c85j c80r c84q c82a c83a c84k c850 c82x c82s c801 c8ar c894 c86w c859 c83p c81s c803 c88t c85m c877 c81g c84a c82j c83d c80w c86i c85o c86q c824 c820 c821 c87i c88g c88x c80k c80p c816 c88v c86v c87l c885 c8am c89y c86l c86u
1929 c926 c96d c94y c999 c93k c9a3 c97q c91q c989 c92h c9ab c921 c90w c928 c97b c97t c97h c95n c90a c96s c99u c96a c95x c98c c96j c92a c924 c9au c985 c9a5 c94a c91v c92x c9aq c93b c92z c9at c91b c93n c92f c98z c9ay c96x c9az c949 c9al c91p c93d c90z c96v c99w c92v c95z c900 c94t c93q c90d c933 c92p c92e c95e c977 c98v c98o c978 c94k c98p c97x c9as c9b3 c984 c971 c99r c90p c917 c907 c99p c93g c99a c99j c9b0 c91s c95w c93y c91o c92s c95c c98h c99c c99i c950 c92u c91g c945 c92n c908 c91x c916 c990 c969
1930 d03g d012 d05y d05c d0b0 d072 d00b d079 d02z d0a0 d050 d020 d09v d029 d02a d01n d083 d05i d086 d094 d09w d05n d054 d07n d004 d049 d03l d08a d06x d03u d074 d01e d08l d08x d0ay d06l d09l d0ap d02e d03o d01b d04p d052 d0ad d0aw d06c d05l d05d d07w d00y d04h d031 d05h d0aq d025 d09f d005 d03z d022 d05u d0ah d07d d04y d03y d0an d03t d08h d01m d0b3 d060 d09n d088 d01k d04a d07h d03x d01z d05e d04f d08u d080 d04n d0a5 d08i d02q d00s d017 d041 d084 d08c d02p d02m d07p d00v d0al d03e d09r d03q d05g d04r
1931 d1aj d19q d13c d12o d198 d135 d16o d17a d14q d1ay d11c d18z d15t d18q d13z d18a d1ai d13s d17h d15d d11k d184 d11f d12f d182 d140 d14t d13l d13q d14o d17c d10p d155 d15a d10o d14p d10n d168 d18n d154 d18i d11q d121 d14d d1av d1ae d15m d17q d12l d14k d142 d18j d103 d14a d13t d18t d10c d11y d16s d12e d191 d113 d11x d100 d11j d12i d12d d10g d17k d10l d19o d124 d18s d1b2 d12m d10r d16d d19p d19x d125 d16a d11v d185 d13a d183 d1au d160 d1a6 d17b d1af d12w d11r d1a8 d16q d11m d15h d137 d11i d153 d141
1932 d27d d26v d28o d234 d25y d262 d20l d29e d261 d20a d28c d218 d25a d29u d21v d29h d27o d277 d273 d20f d23m d28m d25v d20q d2am d204 d257 d23z d20y d20i d299 d24e d297 d21r d23p d29s d25b d25k d2b0 d2a9 d2av d20h d23c d27v d29p d27k d225 d27y d294 d23h d23n d27b d26r d293 d24s d235 d280 d25j d247 d2a6 d21l d23w d22o d24t d24v d2a0 d27s d28u d21c d212 d24w d26g d2ae d27g d206 d22w d26o d211 d21u d22j d25g d29f d20w d24r d28b d271 d24n d288 d22x d25x d20c d23j d259 d27r d24a d25f d28x d24x d23t d236
1933 d36l d35u d34e d33a d358 d326 d370 d35l d30f d37n d342 d38d d352 d30o d31g d33x d364 d374 d35a d32b d38x d39f d34g d38o d36g d376 d35j d398 d39h d31t d30b d39j d30g d3ar d3ac d34n d330 d30a d32r d34c d39r d32u d325 d329 d33e d33p d383 d336 d345 d341 d3a9 d359 d369 d304 d32y d395 d3a2 d30m d37q d34p d349 d3at d37s d3ak d35g d36y d30v d348 d33l d3an d30n d39s d37a d37h d32v d37k d39w d32i d38e d31k d35k d31h d309 d337 d30e d3av d30d d39l d32t d347 d315 d32e d35m d365 d33t d35w d308 d36n d3a4 d393
1934 d49t d47k d48w d40b d457 d4at d40g d48h d47o d45e d48i d47d d46v d44m d4al d426 d42l d45s d4a4 d44u d46w d40v d40c d47x d43k d44b d45a d463 d49h d425 d47u d40h d42y d43b d40y d48k d441 d49s d49j d403 d405 d451 d40n d45g d48a d4b3 d485 d440 d459 d46l d4a9 d44i d43x d468 d42f d41k d44x d46t d49f d429 d47t d49p d46g d45v d40s d41d d41t d4ak d45c d443 d424 d45k d46n d434 d4ah d407 d43w d46h d46o d41o d43d d44t d48f d40i d464 d44j d40k d40f d47c d43c d4b2 d40m d44s d43n d43u d458 d46a d40q d40t d41f
1935 d59l d597 d581 d59n d53o d5aj d52c d59h d534 d54x d57m d557 d583 d561 d58j d51j d55y d51x d551 d58t d52f d53e d59z d56z d539 d5ag d576 d500 d5ap d591 d53u d52w d5aq d5ao d57u d52e d5an d58z d56e d55n d52l d55f d504 d553 d56l d50x d55t d59s d57y d56n d572 d56b d59y d548 d525 d58r d59j d593 d51q d54g d59t d53n d58k d51d d538 d57z d507 d57s d568 d50u d59d d56q d51g d58m d552 d58n d58q d51z d5ai d53j d559 d5a9 d50r d547 d5b2 d55j d53k d5a4 d528 d51o d52j d54l d566 d53s d51n d54f d50t d56f d587 d59o
1936 d65a d65c d65z d63d d608 d6as d60r d66m d65m d6a1 d67b d618 d60i d60y d61h d681 d671 d60k d66t d67z d64o d65q d69o d67d d64b d61s d617 d68l d63m d66p d610 d63b d6b0 d676 d620 d637 d62h d62v d63j d60o d65h d63h d696 d675 d611 d65r d6aa d68f d691 d639 d660 d69v d61b d64q d68z d60f d66g d65b d62w d6am d6at d69g d66u d661 d60b d67l d6ai d6ao d69d d62q d62l d6a8 d633 d67m d68i d60v d69f d64u d612 d62x d6a9 d6an d657 d61o d60u d67a d68b d63p d65v d630 d64w d645 d64f d69k d64v d64m d63v d609 d694 d67x
1937 d701 d702 d704 d706 d707 d709 d70b d70d d70l d70r d70t d70w d710 d711 d71a d71i d71n d71q d71y d71z d726 d727 d729 d72b d72f d72h d72i d72j d72p d72z d732 d733 d735 d736 d73a d73d d73f d73g d73o d73p d73r d73u d73w d745 d748 d749 d74c d74f d74h d74p d74q d74r d74t d74v d74z d751 d752 d757 d75d d75g d75l d75s d75y d761 d76d d76t d76z d779 d77b d77l d77w d77y d780 d786 d789 d78d d78l d78m d78q d795 d796 d798 d79g d79h d79q d79r d79w d7a3 d7a5 d7am d7an d7ar d7as d7at d7ay d7b0 d7b3 d70h d72d d74o
1938 d836 d83r d87l d811 d80a d802 d8b0 d860 d89p d87a d80z d805 d854 d883 d85s d83p d833 d80j d82h d86b d89m d829 d83u d83j d84j d8af d8ac d826 d83o d88d d851 d8ag d83n d87g d8av d810 d87n d84u d88i d89e d83a d84m d893 d87b d856 d81h d82c d87d d87t d85p d801 d88u d88k d862 d887 d8aa d84t d813 d8ae d89c d820 d807 d87c d82u d88q d82j d89g d86r d837 d88y d83k d81s d8ar d86a d89w d88f d885 d80b d80l d82s d85t d89s d81x d8a9 d87z d89y d803 d89u d84l d86l d81g d89i d86c d81b d87s d839 d800 d824 d84s d85d
1939 d973 d90y d98d d99v d94t d93y d97v d907 d95t d906 d916 d96n d95q d94r d987 d945 d90x d99t d92l d93q d94g d94d d90f d9ao d937 d94z d908 d924 d96u d99f d93p d9al d93j d92i d91k d90d d93r d99x d956 d9as d96e d91w d9b2 d932 d94i d92r d99a d90k d96v d95b d94c d93v d951 d91v d91d d977 d93b d96j d97q d967 d95x d905 d914 d91s d90z d9a4 d99c d96l d92w d97a d93z d934 d97y d90i d93c d921 d96c d909 d97c d98z d901 d97m d9b0 d90n d991 d903 d965 d984 d93n d941 d92o d90j d94y d95n d90h d994 d9az d90e d91t d942
1940 e083 e09q e0at e03g e05k e024 e03x e07e e04p e05b e06j e01d e08z e08b e03h e08e e050 e06v e08f e023 e04m e07j e015 e09k e00m e02d e01s e08s e006 e085 e02f e041 e09l e021 e02n e00p e09r e05m e079 e06f e069 e00w e03e e00l e039 e049 e0b2 e005 e04t e03k e038 e063 e002 e05l e00v e08x e05a e066 e00i e00t e0a5 e06k e02c e05u e087 e034 e086 e02r e07s e01m e0az e00x e0ah e03o e02x e077 e0ag e00g e00u e00h e098 e0ao e05j e02w e076 e07f e084 e003 e09j e06x e04r e08m e01f e00q e00a e09d e0a8 e0ad e00c e00k
1941 e178 e14q e1a4 e13o e124 e168 e1a6 e136 e11d e16d e17d e179 e13g e12a e15h e12t e169 e12q e15l e155 e16e e19q e125 e16o e18r e102 e17y e184 e153 e109 e12s e15j e14n e108 e1az e10o e18w e11u e14g e191 e10t e12i e158 e14i e17c e14e e19v e18t e10k e18s e149 e11k e17f e18g e1ar e12y e1ae e10f e151 e1a2 e18n e19a e196 e16c e17g e19p e15c e172 e13c e103 e17i e11i e10e e19u e190 e16w e19c e16p e15a e13p e1a9 e16t e16k e18z e19l e16r e12j e18x e18h e1an e10n e19w e1ak e19g e16x e1aq e14x e112 e15i e170
